,title,release_date,genres,mpaa,budget_cost,total_gross,runtime
1211,Tom of Finland,"Oct 13, 2017","['Biography', 'Drama']",,,"{'domestic_gross': 378296, 'worldwide_gross': 1776931}",1 hr 57 min
1212,Obit.,"Jan 5, 2017",['Documentary'],,,"{'domestic_gross': 315049, 'worldwide_gross': 315049}",1 hr 33 min
1213,Coincidence,"Nov 3, 2017","['Mystery', 'Thriller']",,,"{'domestic_gross': 298032, 'worldwide_gross': 2520487}",1 hr 45 min
1214,Miss Peregrine's Home for Peculiar Children,"Sep 30, 2016","['Adventure', 'Drama', 'Family', 'Fantasy', 'Thriller']",PG-13,"$110,000,000","{'domestic_gross': 87242834, 'worldwide_gross': 296482446}",2 hr 7 min
1215,Loving,"Nov 4, 2016","['Biography', 'Drama', 'Romance']",PG-13,,"{'domestic_gross': 7751969, 'worldwide_gross': 12957265}",2 hr 3 min
1216,Buddies in India,"Jan 27, 2017","['Action', 'Comedy']",,,"{'domestic_gross': 293194, 'worldwide_gross': 110155128}",1 hr 39 min
1217,I Do... Until I Don't,"Sep 1, 2017",['Comedy'],R,,"{'domestic_gross': 280668, 'worldwide_gross': 280668}",1 hr 46 min
1218,After the Storm,"Mar 17, 2017","['Comedy', 'Drama']",,,"{'domestic_gross': 272132, 'worldwide_gross': 5382886}",1 hr 58 min
1219,Stalker,"May 5, 2017","['Drama', 'Sci-Fi']",,,"{'domestic_gross': 269881, 'worldwide_gross': 269881}",2 hr 42 min
1220,Storks,"Sep 23, 2016","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",PG,"$70,000,000","{'domestic_gross': 72679278, 'worldwide_gross': 183388953}",1 hr 27 min
1221,Wakefield,"May 19, 2017",['Drama'],R,,"{'domestic_gross': 262599, 'worldwide_gross': 798214}",1 hr 46 min
1222,"I, Daniel Blake","Jun 2, 2017",['Drama'],R,,"{'domestic_gross': 260354, 'worldwide_gross': 15793051}",1 hr 40 min
1223,Cezanne et Moi,"Mar 31, 2017","['Biography', 'Drama']",R,,"{'domestic_gross': 257597, 'worldwide_gross': 4529583}",1 hr 57 min
1224,Dean,"Jun 2, 2017","['Comedy', 'Drama', 'Romance']",PG-13,,"{'domestic_gross': 254536, 'worldwide_gross': 254536}",1 hr 34 min
1225,Gook,"Aug 18, 2017",['Drama'],,,"{'domestic_gross': 250130, 'worldwide_gross': 251541}",1 hr 34 min
1226,Government 3,"May 12, 2017","['Action', 'Crime', 'Drama', 'Thriller']",,,"{'domestic_gross': 249588, 'worldwide_gross': 358928}",2 hr 10 min
1227,Band Aid,"Jun 2, 2017","['Comedy', 'Drama', 'Music', 'Romance']",R,,"{'domestic_gross': 248370, 'worldwide_gross': 248370}",1 hr 31 min
1228,Black Butler: Book of the Atlantic,"Jun 12, 2017",['Animation'],,,"{'domestic_gross': 248286, 'worldwide_gross': 511132}",1 hr 41 min
1229,1945,"Nov 1, 2017",['Drama'],,,"{'domestic_gross': 1006193, 'worldwide_gross': 1240663}",1 hr 31 min
1230,The Swindlers,"Dec 1, 2017","['Action', 'Crime']",,,"{'domestic_gross': 241916, 'worldwide_gross': 29721916}",1 hr 57 min
1231,The Ottoman Lieutenant,"Mar 10, 2017","['Drama', 'War']",R,,"{'domestic_gross': 240978, 'worldwide_gross': 413844}",1 hr 46 min
1232,Crown Heights,"Aug 18, 2017","['Biography', 'Crime', 'Drama', 'Romance']",R,,"{'domestic_gross': 238558, 'worldwide_gross': 238558}",1 hr 34 min
1233,American Satan,"Oct 13, 2017","['Drama', 'Music', 'Thriller']",R,,"{'domestic_gross': 237708, 'worldwide_gross': 237708}",1 hr 51 min
1234,Little Shop of Horrors,"Oct 27, 2017","['Comedy', 'Horror', 'Musical', 'Romance', 'Sci-Fi']",PG-13,,"{'domestic_gross': 233865, 'worldwide_gross': 233865}",1 hr 34 min
1235,Jeremiah Tower: The Last Magnificent,"Apr 21, 2017","['Biography', 'Documentary']",R,,"{'domestic_gross': 228153, 'worldwide_gross': 228153}",1 hr 43 min
1236,The Breadwinner,"Nov 17, 2017","['Animation', 'Drama', 'Family', 'War']",PG-13,,"{'domestic_gross': 312381, 'worldwide_gross': 363307}",1 hr 34 min
1237,California Typewriter,"Aug 18, 2017",['Documentary'],,,"{'domestic_gross': 218563, 'worldwide_gross': 218563}",1 hr 43 min
1238,Railroad Tigers,"Jan 6, 2017","['Action', 'Adventure', 'Comedy', 'Family', 'War']",,,"{'domestic_gross': 218044, 'worldwide_gross': 102205175}",2 hr 4 min
1239,All I See Is You,"Oct 27, 2017","['Drama', 'Mystery', 'Romance']",R,"$30,000,000","{'domestic_gross': 217644, 'worldwide_gross': 678150}",1 hr 49 min
1240,The Adventurers,"Aug 18, 2017","['Action', 'Adventure', 'Crime', 'Drama']",,,"{'domestic_gross': 216556, 'worldwide_gross': 36796816}",2 hr 20 min
1241,Truman,"Apr 7, 2017","['Comedy', 'Drama']",,,"{'domestic_gross': 210840, 'worldwide_gross': 9027600}",1 hr 48 min
1242,Donnie Darko,"Mar 31, 2017","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",R,"$6,000,000","{'domestic_gross': 207971, 'worldwide_gross': 212034}",1 hr 53 min
1243,The Prison,"Mar 31, 2017","['Action', 'Crime']",,,"{'domestic_gross': 207481, 'worldwide_gross': 21205329}",2 hr 5 min
1244,Rumble: The Indians Who Rocked The World,"May 18, 2017","['Documentary', 'Music']",,,"{'domestic_gross': 226006, 'worldwide_gross': 226006}",1 hr 43 min
1245,Hubble 3D,"Mar 19, 2010",['Documentary'],,,"{'domestic_gross': 52522904, 'worldwide_gross': 74249729}",45 min
1246,Risk,"May 5, 2017",['Documentary'],,,"{'domestic_gross': 200219, 'worldwide_gross': 214669}",1 hr 26 min
1247,Spark: A Space Tail,"Apr 14, 2017","['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",PG,,"{'domestic_gross': 196458, 'worldwide_gross': 1040689}",1 hr 31 min
1248,Almost Christmas,"Nov 11, 2016","['Comedy', 'Drama']",PG-13,"$17,000,000","{'domestic_gross': 42158780, 'worldwide_gross': 42580920}",1 hr 51 min
1249,Embrace: The Documentary,"Sep 19, 2016",['Documentary'],,,"{'domestic_gross': 629126, 'worldwide_gross': 1155263}",1 hr 30 min
1250,The Fortress,"Oct 6, 2017","['Action', 'Drama', 'History', 'War']",,,"{'domestic_gross': 252895, 'worldwide_gross': 28645448}",2 hr 20 min
1251,Whose Streets?,"Aug 11, 2017",['Documentary'],R,,"{'domestic_gross': 182799, 'worldwide_gross': 182799}",1 hr 42 min
1252,The Bad Batch,"Jun 23, 2017","['Drama', 'Horror', 'Romance', 'Sci-Fi']",R,,"{'domestic_gross': 180851, 'worldwide_gross': 201890}",1 hr 58 min
1253,Marjorie Prime,"Aug 18, 2017","['Drama', 'Mystery', 'Romance', 'Sci-Fi']",,,"{'domestic_gross': 180608, 'worldwide_gross': 213858}",1 hr 39 min
1254,Past Life,"Jun 2, 2017",['Drama'],,,"{'domestic_gross': 180099, 'worldwide_gross': 191678}",1 hr 49 min
1255,Take Every Wave: The Life of Laird Hamilton,"Sep 29, 2017","['Documentary', 'Sport']",,,"{'domestic_gross': 176076, 'worldwide_gross': 223301}",1 hr 58 min
1256,Graduation,"Apr 7, 2017","['Crime', 'Drama']",R,,"{'domestic_gross': 175975, 'worldwide_gross': 2015002}",2 hr 8 min
1257,Champion,"May 19, 2017","['Drama', 'Family', 'Sport']",PG,,"{'domestic_gross': 175232, 'worldwide_gross': 175232}",1 hr 56 min
1258,Mr. Gaga: A True Story of Love and Dance,"Feb 1, 2017","['Biography', 'Documentary']",,,"{'domestic_gross': 173994, 'worldwide_gross': 665617}",1 hr 40 min
1259,In This Corner of the World,"Aug 11, 2017","['Animation', 'Drama', 'Family', 'History', 'War']",PG-13,,"{'domestic_gross': 172147, 'worldwide_gross': 19496308}",2 hr 9 min
1260,David Lynch: The Art Life,"Mar 31, 2017","['Biography', 'Documentary']",,,"{'domestic_gross': 171419, 'worldwide_gross': 311470}",1 hr 28 min
1261,9/11,"Sep 8, 2017","['Action', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",R,,"{'domestic_gross': 170000, 'worldwide_gross': 200229}",1 hr 30 min
1262,Valley of Bones,"Sep 1, 2017","['Crime', 'Thriller', 'Western']",R,,"{'domestic_gross': 168738, 'worldwide_gross': 168738}",1 hr 30 min
1263,"Polina, danser sa vie","Aug 25, 2017",['Drama'],,,"{'domestic_gross': 165203, 'worldwide_gross': 996425}",1 hr 48 min
1264,13 Minutes,"Jun 30, 2017","['Biography', 'Drama', 'War']",R,,"{'domestic_gross': 161531, 'worldwide_gross': 395557}",1 hr 54 min
1265,Manifesto,"May 10, 2017",['Drama'],,,"{'domestic_gross': 161101, 'worldwide_gross': 416389}",1 hr 35 min
