,title,release_date,genres,mpaa,budget_cost,total_gross,runtime,release_month,release_year,world_gross,domestic_gross,month_year,genre_1
2286,The Price of Everything,"Oct 19, 2018",['Documentary'],,,"{'domestic_gross': 87400, 'worldwide_gross': 144446}",1 hr 38 min,Oct,2018,144446,87400,Oct 2018,Documentary
2287,Lobster Cop,"Jun 22, 2018","['Comedy', 'Crime']",,,"{'domestic_gross': 85693, 'worldwide_gross': 10373129}",1 hr 34 min,Jun,2018,10373129,85693,Jun 2018,Comedy
2288,Big Brother,"Aug 31, 2018","['Action', 'Comedy', 'Drama']",,,"{'domestic_gross': 85624, 'worldwide_gross': 22029250}",1 hr 41 min,Aug,2018,22029250,85624,Aug 2018,Action
2289,How to Talk to Girls at Parties,"May 25, 2018","['Comedy', 'Music', 'Romance', 'Sci-Fi']",R,,"{'domestic_gross': 84809, 'worldwide_gross': 385733}",1 hr 42 min,May,2018,385733,84809,May 2018,Comedy
2290,Stan & Ollie,"Dec 28, 2018","['Biography', 'Comedy', 'Drama', 'Family', 'History']",PG,,"{'domestic_gross': 5470235, 'worldwide_gross': 24420923}",1 hr 38 min,Dec,2018,24420923,5470235,Dec 2018,Biography
2291,Custody,"Jun 29, 2018",['Drama'],,,"{'domestic_gross': 83882, 'worldwide_gross': 3790303}",1 hr 33 min,Jun,2018,3790303,83882,Jun 2018,Drama
2292,National Theatre Live: Antony & Cleopatra,"Dec 6, 2018",['Drama'],,,"{'domestic_gross': 83672, 'worldwide_gross': 998079}",3 hr 40 min,Dec,2018,998079,83672,Dec 2018,Drama
2293,Claire's Camera,"Mar 9, 2018",['Drama'],,,"{'domestic_gross': 83418, 'worldwide_gross': 191980}",1 hr 9 min,Mar,2018,191980,83418,Mar 2018,Drama
2294,Blood Fest,"Aug 14, 2018","['Comedy', 'Horror']",,,"{'domestic_gross': 82774, 'worldwide_gross': 122833}",1 hr 32 min,Aug,2018,122833,82774,Aug 2018,Comedy
2295,Doctor Who: The Woman Who Fell to Earth,"Oct 10, 2018","['Adventure', 'Drama', 'Family', 'Mystery', 'Sci-Fi']",,,"{'domestic_gross': 82698, 'worldwide_gross': 82698}",1 hr,Oct,2018,82698,82698,Oct 2018,Adventure
2296,Godard Mon Amour,"Apr 20, 2018","['Biography', 'Comedy', 'Drama', 'Romance']",R,,"{'domestic_gross': 82264, 'worldwide_gross': 1335846}",1 hr 47 min,Apr,2018,1335846,82264,Apr 2018,Biography
2297,Yuri!!! On Ice,"Oct 13, 2018","['Animation', 'Comedy', 'Drama', 'Romance', 'Sport']",,,"{'domestic_gross': 81878, 'worldwide_gross': 90751}",20 min,Oct,2018,90751,81878,Oct 2018,Animation
2298,Nancy,"Jun 8, 2018","['Drama', 'Mystery']",,,"{'domestic_gross': 80115, 'worldwide_gross': 92000}",1 hr 25 min,Jun,2018,92000,80115,Jun 2018,Drama
2299,En el séptimo día,"Jun 8, 2018",['Drama'],,,"{'domestic_gross': 79887, 'worldwide_gross': 79887}",1 hr 32 min,Jun,2018,79887,79887,Jun 2018,Drama
2300,Have a Nice Day,"Jan 26, 2018","['Animation', 'Comedy', 'Crime', 'Drama']",,,"{'domestic_gross': 79393, 'worldwide_gross': 504003}",1 hr 17 min,Jan,2018,504003,79393,Jan 2018,Animation
2301,The Princess and the Matchmaker,"Mar 9, 2018","['Comedy', 'History', 'Romance']",,,"{'domestic_gross': 78900, 'worldwide_gross': 9899017}",1 hr 50 min,Mar,2018,9899017,78900,Mar 2018,Comedy
2302,The Boxcar Children - Surprise Island,"May 8, 2018",['Animation'],,,"{'domestic_gross': 78676, 'worldwide_gross': 78676}",1 hr 21 min,May,2018,78676,78676,May 2018,Animation
