,title,release_date,genres,mpaa,budget_cost,total_gross,runtime
1142,Revive Us 2,24-Oct-17,['Documentary'],,,"{'domestic_gross': 718607, 'worldwide_gross': 718607}",1 hr 30 min
1143,The Exception,2-Jun-17,"['Drama', 'Romance', 'War']",R,,"{'domestic_gross': 708973, 'worldwide_gross': 834572}",1 hr 47 min
1144,Countdown to Canelo vs. Golovkin,16-Sep-17,['Action'],,,"{'domestic_gross': 703396, 'worldwide_gross': 703396}",1 hr 2 min
1145,Chris Brown: Welcome To My Life,8-Jun-17,['Documentary'],,,"{'domestic_gross': 693984, 'worldwide_gross': 693984}",1 hr 20 min
1146,Titanic,1-Dec-17,"['Drama', 'Romance']",PG-13,"$200,000,000 ","{'domestic_gross': 691642, 'worldwide_gross': 691642}",3 hr 14 min
1147,Lost in Paris,16-Jun-17,['Comedy'],,,"{'domestic_gross': 691597, 'worldwide_gross': 2087225}",1 hr 23 min
1148,Shubh Mangal Savdhan,1-Sep-17,"['Comedy', 'Romance']",,,"{'domestic_gross': 689874, 'worldwide_gross': 1188541}",1 hr 59 min
1149,The Devotion of Suspect X,31-Mar-17,"['Crime', 'Thriller']",,,"{'domestic_gross': 686435, 'worldwide_gross': 59035664}",1 hr 52 min
1150,Walk With Me,11-Aug-17,['Documentary'],,,"{'domestic_gross': 726726, 'worldwide_gross': 1606705}",1 hr 34 min
1151,Wilson,24-Mar-17,"['Comedy', 'Drama']",R,,"{'domestic_gross': 653951, 'worldwide_gross': 848646}",1 hr 34 min
1152,Jonah: The Musical,2-May-17,['Musical'],,,"{'domestic_gross': 631154, 'worldwide_gross': 631154}",1 hr 56 min
1153,The Only Living Boy in New York,11-Aug-17,['Drama'],R,,"{'domestic_gross': 624332, 'worldwide_gross': 2550321}",1 hr 29 min
1154,Along With the Gods: The Two Worlds,22-Dec-17,"['Action', 'Drama', 'Fantasy']",,,"{'domestic_gross': 1908823, 'worldwide_gross': 109383972}",2 hr 19 min
1155,The Midwife,21-Jul-17,['Drama'],,,"{'domestic_gross': 603582, 'worldwide_gross': 7286136}",1 hr 57 min
1156,Battle of Memories,28-Apr-17,"['Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",,,"{'domestic_gross': 594552, 'worldwide_gross': 43892362}",1 hr 59 min
1157,Faces Places,6-Oct-17,['Documentary'],PG,,"{'domestic_gross': 953717, 'worldwide_gross': 3998450}",1 hr 34 min
1158,Master,30-Dec-16,"['Action', 'Crime']",,,"{'domestic_gross': 597251, 'worldwide_gross': 51636415}",2 hr 23 min
1159,Tommy's Honour,14-Apr-17,"['Biography', 'Drama', 'Romance', 'Sport']",PG,,"{'domestic_gross': 569306, 'worldwide_gross': 751345}",1 hr 52 min
1160,Novitiate,27-Oct-17,['Drama'],R,,"{'domestic_gross': 580346, 'worldwide_gross': 580346}",2 hr 3 min
1161,Bitter Harvest,24-Feb-17,"['Drama', 'History', 'Romance', 'War']",R,,"{'domestic_gross': 557241, 'worldwide_gross': 904399}",1 hr 43 min
1162,Allied,23-Nov-16,"['Action', 'Drama', 'Romance', 'Thriller', 'War']",R,"$85,000,000 ","{'domestic_gross': 40098064, 'worldwide_gross': 119520023}",2 hr 4 min
1163,Nocturnal Animals,18-Nov-16,"['Drama', 'Thriller']",R,,"{'domestic_gross': 10663357, 'worldwide_gross': 30311857}",1 hr 56 min
1164,Samaritan's Purse presents Facing Darkness,10-Apr-17,"['Documentary', 'Drama']",,,"{'domestic_gross': 555533, 'worldwide_gross': 555533}",1 hr 33 min
1165,Dolores,1-Sep-17,"['Biography', 'Documentary', 'History']",,,"{'domestic_gross': 555309, 'worldwide_gross': 555309}",1 hr 35 min
1166,Under the Sea 3D,13-Feb-09,"['Documentary', 'Short']",,,"{'domestic_gross': 36262926, 'worldwide_gross': 55902624}",41 min
1167,Brigsby Bear,28-Jul-17,"['Comedy', 'Drama']",PG-13,,"{'domestic_gross': 532669, 'worldwide_gross': 681632}",1 hr 37 min
1168,Human Flow,13-Oct-17,['Documentary'],PG-13,,"{'domestic_gross': 527845, 'worldwide_gross': 1824537}",2 hr 20 min
1169,Phantom Thread,25-Dec-17,"['Drama', 'Romance']",R,,"{'domestic_gross': 21198205, 'worldwide_gross': 47756590}",2 hr 10 min
1170,Fairy Tail: Dragon Cry,14-Aug-17,"['Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",,,"{'domestic_gross': 519461, 'worldwide_gross': 1420035}",1 hr 25 min
1171,Raw,10-Mar-17,"['Drama', 'Fantasy', 'Horror']",R,,"{'domestic_gross': 514870, 'worldwide_gross': 3096815}",1 hr 39 min
1172,Our President,2-Jun-17,['Documentary'],,,"{'domestic_gross': 507268, 'worldwide_gross': 13392049}",1 hr 59 min
1173,Breathe,13-Oct-17,"['Biography', 'Drama', 'Romance']",PG-13,,"{'domestic_gross': 490131, 'worldwide_gross': 5026154}",1 hr 58 min
1174,Once Upon A Time,11-Aug-17,"['Drama', 'Fantasy', 'Romance']",,,"{'domestic_gross': 485728, 'worldwide_gross': 82886178}",1 hr 49 min
1175,Born to Be Wild,8-Apr-11,"['Adventure', 'Documentary', 'Short']",,,"{'domestic_gross': 25978556, 'worldwide_gross': 41644475}",40 min
1176,Confidential Assignment,27-Jan-17,"['Action', 'Adventure']",,,"{'domestic_gross': 475618, 'worldwide_gross': 55972241}",2 hr 4 min
1177,Beach Rats,25-Aug-17,['Drama'],R,,"{'domestic_gross': 473771, 'worldwide_gross': 486623}",1 hr 38 min
1178,Journey to the South Pacific,27-Nov-13,['Documentary'],G,,"{'domestic_gross': 7653913, 'worldwide_gross': 14994876}",40 min
1179,Duckweed,10-Feb-17,"['Comedy', 'Drama', 'Fantasy']",,,"{'domestic_gross': 471575, 'worldwide_gross': 152894264}",1 hr 42 min
1180,DCI 2017 Tour Premeire,22-Jun-17,['Documentary'],,,"{'domestic_gross': 467817, 'worldwide_gross': 467817}",
1181,Phillauri,24-Mar-17,"['Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance']",,,"{'domestic_gross': 467596, 'worldwide_gross': 5805030}",2 hr 18 min
1182,Chasing the Dragon,29-Sep-17,"['Action', 'Biography', 'Crime', 'History']",,,"{'domestic_gross': 456854, 'worldwide_gross': 87965942}",2 hr 8 min
1183,Sailor Moon R: The Movie: The Promise of the Rose,19-Jan-17,"['Action', 'Animation', 'Comedy', 'Drama', 'Fantasy', 'Romance']",,,"{'domestic_gross': 452053, 'worldwide_gross': 452053}",1 hr 1 min
1184,Song to Song,17-Mar-17,"['Drama', 'Music', 'Romance']",R,,"{'domestic_gross': 443684, 'worldwide_gross': 1778021}",2 hr 9 min
1185,Land of Mine,16-Dec-16,"['Drama', 'History', 'War']",R,,"{'domestic_gross': 435266, 'worldwide_gross': 3169553}",1 hr 40 min
1186,One Piece Film: Gold,10-Jan-17,"['Action', 'Adventure', 'Animation', 'Fantasy']",,,"{'domestic_gross': 423593, 'worldwide_gross': 66207073}",2 hr
1187,A Gentleman,25-Aug-17,"['Action', 'Comedy']",,,"{'domestic_gross': 410055, 'worldwide_gross': 3438746}",2 hr 25 min
1188,"Love, Kennedy",2-Jun-17,['Drama'],PG,,"{'domestic_gross': 407871, 'worldwide_gross': 407871}",1 hr 32 min
1189,Chasing Trane: The John Coltrane Documentary,14-Apr-17,"['Biography', 'Documentary', 'Music']",,,"{'domestic_gross': 406284, 'worldwide_gross': 406284}",1 hr 39 min
1190,The Accountant,14-Oct-16,"['Action', 'Crime', 'Drama', 'Thriller']",R,"$44,000,000 ","{'domestic_gross': 86260045, 'worldwide_gross': 155160045}",2 hr 8 min
1191,Samurai Cop,13-Apr-17,"['Action', 'Crime', 'Thriller']",,,"{'domestic_gross': 384756, 'worldwide_gross': 384756}",1 hr 36 min
1192,I'll Push You: A Real-Life Inspiration,2-Nov-17,"['Adventure', 'Documentary', 'Drama']",,,"{'domestic_gross': 378899, 'worldwide_gross': 378899}",1 hr 40 min
1193,Rebel in the Rye,8-Sep-17,"['Biography', 'Drama', 'Romance', 'War']",PG-13,,"{'domestic_gross': 378294, 'worldwide_gross': 944370}",1 hr 46 min
1194,Island of Lemurs: Madagascar,4-Apr-14,"['Adventure', 'Biography', 'Documentary', 'Family', 'Short']",,,"{'domestic_gross': 11272213, 'worldwide_gross': 14066534}",39 min
1195,BOSTON: An American Running Story,19-Apr-17,['Documentary'],,,"{'domestic_gross': 364369, 'worldwide_gross': 364369}",1 hr 54 min
1196,Kung Fu Yoga,27-Jan-17,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']",,"$65,000,000 ","{'domestic_gross': 362657, 'worldwide_gross': 257743016}",1 hr 47 min
1197,Disney Junior HalloVeen Party!,21-Oct-17,[],,,"{'domestic_gross': 359745, 'worldwide_gross': 359745}",46 min
1198,Letters From Baghdad,2-Jun-17,['Documentary'],,,"{'domestic_gross': 359735, 'worldwide_gross': 502941}",1 hr 35 min
1199,OK Jaanu,13-Jan-17,"['Drama', 'Romance']",,,"{'domestic_gross': 355922, 'worldwide_gross': 5445281}",2 hr 15 min
1200,Long Strange Trip - The Untold Story of The Grateful Dead,25-May-17,['Documentary'],R,,"{'domestic_gross': 351957, 'worldwide_gross': 351957}",3 hr 58 min
1201,Pearl Jam: Let's Play Two,29-Sep-17,"['Documentary', 'Music']",,,"{'domestic_gross': 348833, 'worldwide_gross': 450273}",2 hr
1202,Countdown to Canelo vs. Chavez Jr.,6-May-17,['Action'],,,"{'domestic_gross': 343387, 'worldwide_gross': 343387}",1 hr 10 min
1203,This Is Not What I Expected,5-May-17,"['Comedy', 'Drama', 'Romance']",,,"{'domestic_gross': 337670, 'worldwide_gross': 30996615}",1 hr 46 min
1204,Dunkirk,1-Dec-17,"['Action', 'Drama', 'History', 'Thriller', 'War']",PG-13,"$100,000,000 ","{'domestic_gross': 1695119, 'worldwide_gross': 1696804}",1 hr 46 min
1205,Chuck,5-May-17,"['Biography', 'Drama', 'Sport']",R,,"{'domestic_gross': 320725, 'worldwide_gross': 502518}",1 hr 38 min
1206,Citizen Jane: Battle for the City,21-Apr-17,"['Biography', 'Documentary', 'History']",,,"{'domestic_gross': 313411, 'worldwide_gross': 323124}",1 hr 32 min
1207,City Of Rock,6-Oct-17,"['Comedy', 'Music']",,,"{'domestic_gross': 312537, 'worldwide_gross': 9118873}",1 hr 57 min
1208,A Silent Voice: The Movie,20-Oct-17,"['Animation', 'Drama', 'Family', 'Romance']",,,"{'domestic_gross': 310407, 'worldwide_gross': 30156463}",2 hr 10 min
1209,My Life as a Zucchini,24-Feb-17,"['Animation', 'Comedy', 'Drama', 'Family']",PG-13,,"{'domestic_gross': 309766, 'worldwide_gross': 5872598}",1 hr 6 min
1210,God's Own Country,24-Oct-17,"['Drama', 'Romance']",,,"{'domestic_gross': 335609, 'worldwide_gross': 2559939}",1 hr 44 min
1211,Tom of Finland,13-Oct-17,"['Biography', 'Drama']",,,"{'domestic_gross': 378296, 'worldwide_gross': 1776931}",1 hr 57 min
1212,Obit.,5-Jan-17,['Documentary'],,,"{'domestic_gross': 315049, 'worldwide_gross': 315049}",1 hr 33 min
1213,Coincidence,3-Nov-17,"['Mystery', 'Thriller']",,,"{'domestic_gross': 298032, 'worldwide_gross': 2520487}",1 hr 45 min
1214,Miss Peregrine's Home for Peculiar Children,30-Sep-16,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Thriller']",PG-13,"$110,000,000 ","{'domestic_gross': 87242834, 'worldwide_gross': 296482446}",2 hr 7 min
1215,Loving,4-Nov-16,"['Biography', 'Drama', 'Romance']",PG-13,,"{'domestic_gross': 7751969, 'worldwide_gross': 12957265}",2 hr 3 min
1216,Buddies in India,27-Jan-17,"['Action', 'Comedy']",,,"{'domestic_gross': 293194, 'worldwide_gross': 110155128}",1 hr 39 min
1217,I Do... Until I Don't,1-Sep-17,['Comedy'],R,,"{'domestic_gross': 280668, 'worldwide_gross': 280668}",1 hr 46 min
1218,After the Storm,17-Mar-17,"['Comedy', 'Drama']",,,"{'domestic_gross': 272132, 'worldwide_gross': 5382886}",1 hr 58 min
1219,Stalker,5-May-17,"['Drama', 'Sci-Fi']",,,"{'domestic_gross': 269881, 'worldwide_gross': 269881}",2 hr 42 min
1220,Storks,23-Sep-16,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",PG,"$70,000,000 ","{'domestic_gross': 72679278, 'worldwide_gross': 183388953}",1 hr 27 min
1221,Wakefield,19-May-17,['Drama'],R,,"{'domestic_gross': 262599, 'worldwide_gross': 798214}",1 hr 46 min
1222,"I, Daniel Blake",2-Jun-17,['Drama'],R,,"{'domestic_gross': 260354, 'worldwide_gross': 15793051}",1 hr 40 min
1223,Cezanne et Moi,31-Mar-17,"['Biography', 'Drama']",R,,"{'domestic_gross': 257597, 'worldwide_gross': 4529583}",1 hr 57 min
1224,Dean,2-Jun-17,"['Comedy', 'Drama', 'Romance']",PG-13,,"{'domestic_gross': 254536, 'worldwide_gross': 254536}",1 hr 34 min
1225,Gook,18-Aug-17,['Drama'],,,"{'domestic_gross': 250130, 'worldwide_gross': 251541}",1 hr 34 min
1226,Government 3,12-May-17,"['Action', 'Crime', 'Drama', 'Thriller']",,,"{'domestic_gross': 249588, 'worldwide_gross': 358928}",2 hr 10 min
1227,Band Aid,2-Jun-17,"['Comedy', 'Drama', 'Music', 'Romance']",R,,"{'domestic_gross': 248370, 'worldwide_gross': 248370}",1 hr 31 min
1228,Black Butler: Book of the Atlantic,12-Jun-17,['Animation'],,,"{'domestic_gross': 248286, 'worldwide_gross': 511132}",1 hr 41 min
1229,1945,1-Nov-17,['Drama'],,,"{'domestic_gross': 1006193, 'worldwide_gross': 1240663}",1 hr 31 min
1230,The Swindlers,1-Dec-17,"['Action', 'Crime']",,,"{'domestic_gross': 241916, 'worldwide_gross': 29721916}",1 hr 57 min
1231,The Ottoman Lieutenant,10-Mar-17,"['Drama', 'War']",R,,"{'domestic_gross': 240978, 'worldwide_gross': 413844}",1 hr 46 min
1232,Crown Heights,18-Aug-17,"['Biography', 'Crime', 'Drama', 'Romance']",R,,"{'domestic_gross': 238558, 'worldwide_gross': 238558}",1 hr 34 min
1233,American Satan,13-Oct-17,"['Drama', 'Music', 'Thriller']",R,,"{'domestic_gross': 237708, 'worldwide_gross': 237708}",1 hr 51 min
1234,Little Shop of Horrors,27-Oct-17,"['Comedy', 'Horror', 'Musical', 'Romance', 'Sci-Fi']",PG-13,,"{'domestic_gross': 233865, 'worldwide_gross': 233865}",1 hr 34 min
1235,Jeremiah Tower: The Last Magnificent,21-Apr-17,"['Biography', 'Documentary']",R,,"{'domestic_gross': 228153, 'worldwide_gross': 228153}",1 hr 43 min
1236,The Breadwinner,17-Nov-17,"['Animation', 'Drama', 'Family', 'War']",PG-13,,"{'domestic_gross': 312381, 'worldwide_gross': 363307}",1 hr 34 min
1237,California Typewriter,18-Aug-17,['Documentary'],,,"{'domestic_gross': 218563, 'worldwide_gross': 218563}",1 hr 43 min
1238,Railroad Tigers,6-Jan-17,"['Action', 'Adventure', 'Comedy', 'Family', 'War']",,,"{'domestic_gross': 218044, 'worldwide_gross': 102205175}",2 hr 4 min
1239,All I See Is You,27-Oct-17,"['Drama', 'Mystery', 'Romance']",R,"$30,000,000 ","{'domestic_gross': 217644, 'worldwide_gross': 678150}",1 hr 49 min
1240,The Adventurers,18-Aug-17,"['Action', 'Adventure', 'Crime', 'Drama']",,,"{'domestic_gross': 216556, 'worldwide_gross': 36796816}",2 hr 20 min
1241,Truman,7-Apr-17,"['Comedy', 'Drama']",,,"{'domestic_gross': 210840, 'worldwide_gross': 9027600}",1 hr 48 min
1242,Donnie Darko,31-Mar-17,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",R,"$6,000,000 ","{'domestic_gross': 207971, 'worldwide_gross': 212034}",1 hr 53 min
1243,The Prison,31-Mar-17,"['Action', 'Crime']",,,"{'domestic_gross': 207481, 'worldwide_gross': 21205329}",2 hr 5 min
1244,Rumble: The Indians Who Rocked The World,18-May-17,"['Documentary', 'Music']",,,"{'domestic_gross': 226006, 'worldwide_gross': 226006}",1 hr 43 min
1245,Hubble 3D,19-Mar-10,['Documentary'],,,"{'domestic_gross': 52522904, 'worldwide_gross': 74249729}",45 min
1246,Risk,5-May-17,['Documentary'],,,"{'domestic_gross': 200219, 'worldwide_gross': 214669}",1 hr 26 min
1247,Spark: A Space Tail,14-Apr-17,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",PG,,"{'domestic_gross': 196458, 'worldwide_gross': 1040689}",1 hr 31 min
1248,Almost Christmas,11-Nov-16,"['Comedy', 'Drama']",PG-13,"$17,000,000 ","{'domestic_gross': 42158780, 'worldwide_gross': 42580920}",1 hr 51 min
1249,Embrace: The Documentary,19-Sep-16,['Documentary'],,,"{'domestic_gross': 629126, 'worldwide_gross': 1155263}",1 hr 30 min
1250,The Fortress,6-Oct-17,"['Action', 'Drama', 'History', 'War']",,,"{'domestic_gross': 252895, 'worldwide_gross': 28645448}",2 hr 20 min
1251,Whose Streets?,11-Aug-17,['Documentary'],R,,"{'domestic_gross': 182799, 'worldwide_gross': 182799}",1 hr 42 min
1252,The Bad Batch,23-Jun-17,"['Drama', 'Horror', 'Romance', 'Sci-Fi']",R,,"{'domestic_gross': 180851, 'worldwide_gross': 201890}",1 hr 58 min
1253,Marjorie Prime,18-Aug-17,"['Drama', 'Mystery', 'Romance', 'Sci-Fi']",,,"{'domestic_gross': 180608, 'worldwide_gross': 213858}",1 hr 39 min
1254,Past Life,2-Jun-17,['Drama'],,,"{'domestic_gross': 180099, 'worldwide_gross': 191678}",1 hr 49 min
1255,Take Every Wave: The Life of Laird Hamilton,29-Sep-17,"['Documentary', 'Sport']",,,"{'domestic_gross': 176076, 'worldwide_gross': 223301}",1 hr 58 min
1256,Graduation,7-Apr-17,"['Crime', 'Drama']",R,,"{'domestic_gross': 175975, 'worldwide_gross': 2015002}",2 hr 8 min
1257,Champion,19-May-17,"['Drama', 'Family', 'Sport']",PG,,"{'domestic_gross': 175232, 'worldwide_gross': 175232}",1 hr 56 min
1258,Mr. Gaga: A True Story of Love and Dance,1-Feb-17,"['Biography', 'Documentary']",,,"{'domestic_gross': 173994, 'worldwide_gross': 665617}",1 hr 40 min
1259,In This Corner of the World,11-Aug-17,"['Animation', 'Drama', 'Family', 'History', 'War']",PG-13,,"{'domestic_gross': 172147, 'worldwide_gross': 19496308}",2 hr 9 min
1260,David Lynch: The Art Life,31-Mar-17,"['Biography', 'Documentary']",,,"{'domestic_gross': 171419, 'worldwide_gross': 311470}",1 hr 28 min
1261,11-Sep,8-Sep-17,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",R,,"{'domestic_gross': 170000, 'worldwide_gross': 200229}",1 hr 30 min
1262,Valley of Bones,1-Sep-17,"['Crime', 'Thriller', 'Western']",R,,"{'domestic_gross': 168738, 'worldwide_gross': 168738}",1 hr 30 min
1263,"Polina, danser sa vie",25-Aug-17,['Drama'],,,"{'domestic_gross': 165203, 'worldwide_gross': 996425}",1 hr 48 min
1264,13 Minutes,30-Jun-17,"['Biography', 'Drama', 'War']",R,,"{'domestic_gross': 161531, 'worldwide_gross': 395557}",1 hr 54 min
1265,Manifesto,10-May-17,['Drama'],,,"{'domestic_gross': 161101, 'worldwide_gross': 416389}",1 hr 35 min
1266,3 Generations,5-May-17,['Drama'],PG-13,,"{'domestic_gross': 155936, 'worldwide_gross': 680351}",1 hr 32 min
1267,The Journey,16-Jun-17,['Drama'],PG-13,,"{'domestic_gross': 155475, 'worldwide_gross': 482209}",1 hr 34 min
1268,Endless Poetry,14-Jul-17,"['Biography', 'Drama', 'Fantasy']",,,"{'domestic_gross': 153440, 'worldwide_gross': 554706}",2 hr 8 min
1269,Bombshell: The Hedy Lamarr Story,24-Nov-17,"['Biography', 'Documentary', 'History', 'War']",,,"{'domestic_gross': 820300, 'worldwide_gross': 1092277}",1 hr 28 min
1270,Ex Libris: New York Public Library,13-Sep-17,['Documentary'],,,"{'domestic_gross': 158192, 'worldwide_gross': 198239}",3 hr 17 min
1271,The Void,7-Apr-17,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",,,"{'domestic_gross': 151042, 'worldwide_gross': 368372}",1 hr 30 min
1272,The Unknown Girl,8-Sep-17,"['Crime', 'Drama', 'Mystery', 'Thriller']",,,"{'domestic_gross': 150549, 'worldwide_gross': 2432640}",1 hr 53 min
1273,Blade of the Immortal,3-Nov-17,"['Action', 'Drama']",R,,"{'domestic_gross': 150532, 'worldwide_gross': 7162617}",2 hr 20 min
1274,Jack Reacher: Never Go Back,21-Oct-16,"['Action', 'Thriller']",PG-13,"$60,000,000 ","{'domestic_gross': 58697076, 'worldwide_gross': 162146076}",1 hr 58 min
1275,Restless Creature: Wendy Whelan,23-May-17,['Documentary'],,,"{'domestic_gross': 147780, 'worldwide_gross': 147780}",1 hr 30 min
1276,The Ex-File 3: The Return of The Exes,29-Dec-17,"['Comedy', 'Romance']",,,"{'domestic_gross': 838959, 'worldwide_gross': 307592427}",2 hr
1277,The Last Dalai Lama?,7-Jul-17,['Documentary'],,,"{'domestic_gross': 145524, 'worldwide_gross': 145524}",1 hr 22 min
1278,A Man Called Ove,30-Sep-16,"['Comedy', 'Drama', 'Romance']",PG-13,,"{'domestic_gross': 3479315, 'worldwide_gross': 30691696}",1 hr 56 min
1279,Irving Berlin's Holiday Inn The Broadway Musical,16-Nov-17,['Musical'],,,"{'domestic_gross': 144550, 'worldwide_gross': 144550}",2 hr 8 min
1280,Chavela,4-Oct-17,"['Biography', 'Documentary', 'History', 'Music']",,,"{'domestic_gross': 148666, 'worldwide_gross': 272842}",1 hr 33 min
1281,Lupin the 3rd: Castle of Cagliostro,8-Sep-17,"['Adventure', 'Animation', 'Family', 'Fantasy']",,,"{'domestic_gross': 142425, 'worldwide_gross': 151802}",1 hr 40 min
1282,The Other Side of Hope,1-Dec-17,"['Comedy', 'Drama']",,,"{'domestic_gross': 183943, 'worldwide_gross': 4282973}",1 hr 40 min
1283,The Handmaiden,21-Oct-16,"['Drama', 'Romance', 'Thriller']",,,"{'domestic_gross': 2006788, 'worldwide_gross': 37692886}",2 hr 25 min
1284,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It",16-Jun-17,['Documentary'],,,"{'domestic_gross': 133006, 'worldwide_gross': 133006}",1 hr 30 min
1285,Dawson City: Frozen Time,2-Oct-16,"['Documentary', 'History']",,,"{'domestic_gross': 132369, 'worldwide_gross': 132369}",2 hr
1286,Thelma,10-Nov-17,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Thriller']",,,"{'domestic_gross': 147391, 'worldwide_gross': 1463727}",1 hr 56 min
1287,Things to Come,2-Dec-16,['Drama'],PG-13,,"{'domestic_gross': 388140, 'worldwide_gross': 5638693}",1 hr 42 min
1288,Moka,14-Jun-17,['Drama'],,,"{'domestic_gross': 129547, 'worldwide_gross': 1493067}",1 hr 29 min
1289,City of Ghosts,7-Jul-17,"['Documentary', 'War']",R,,"{'domestic_gross': 128015, 'worldwide_gross': 228225}",1 hr 32 min
1290,Marie Curie: The Courage of Knowledge,30-Jun-17,"['Biography', 'Drama', 'Romance']",,,"{'domestic_gross': 127986, 'worldwide_gross': 1892911}",1 hr 40 min
1291,The B-Side: Elsa Dorfman's Portrait Photography,30-Jun-17,['Documentary'],R,,"{'domestic_gross': 125227, 'worldwide_gross': 125227}",1 hr 16 min
1292,Buena Vista Social Club: Adios,26-May-17,['Documentary'],PG,,"{'domestic_gross': 123445, 'worldwide_gross': 701575}",1 hr 50 min
1293,Explosion,24-Nov-17,"['Action', 'Thriller']",,,"{'domestic_gross': 122700, 'worldwide_gross': 7731410}",1 hr 46 min
1294,Inferno,28-Oct-16,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",PG-13,"$75,000,000 ","{'domestic_gross': 34343574, 'worldwide_gross': 220021259}",2 hr 1 min
1295,The Thousand Faces of Dunjia,15-Dec-17,"['Action', 'Adventure', 'Fantasy']",,,"{'domestic_gross': 124187, 'worldwide_gross': 46263237}",1 hr 53 min
1296,Our Time Will Come,7-Jul-17,"['Drama', 'War']",,,"{'domestic_gross': 114560, 'worldwide_gross': 9484714}",2 hr 10 min
1297,Big Sonia,17-Nov-17,"['Documentary', 'Family', 'History']",,,"{'domestic_gross': 212471, 'worldwide_gross': 212471}",1 hr 33 min
1298,"We Love You, Sally Carmichael!",4-Aug-17,['Comedy'],PG,,"{'domestic_gross': 113435, 'worldwide_gross': 113435}",1 hr 24 min
1299,Abacus: Small Enough to Jail,19-May-17,['Documentary'],,,"{'domestic_gross': 113278, 'worldwide_gross': 113278}",1 hr 28 min
1300,The King's Choice,22-Sep-17,"['Biography', 'Drama', 'History', 'War']",,,"{'domestic_gross': 113231, 'worldwide_gross': 10017316}",2 hr 13 min
1301,The Trouble with Terkel,3-Feb-17,"['Animation', 'Comedy', 'Drama', 'Musical', 'Thriller']",,,"{'domestic_gross': 110289, 'worldwide_gross': 110289}",1 hr 27 min
1302,Reset,30-Jun-17,"['Action', 'Sci-Fi', 'Thriller']",,,"{'domestic_gross': 108970, 'worldwide_gross': 29949252}",1 hr 45 min
1303,Slack Bay,10-Mar-17,"['Comedy', 'Fantasy']",,,"{'domestic_gross': 112621, 'worldwide_gross': 4734494}",2 hr 2 min
1304,SEED: The Untold Story,22-Aug-16,['Documentary'],,,"{'domestic_gross': 207825, 'worldwide_gross': 209580}",1 hr 34 min
1305,Like Crazy,5-May-17,"['Comedy', 'Drama']",,,"{'domestic_gross': 107362, 'worldwide_gross': 9029150}",1 hr 56 min
1306,Fabricated City,24-Feb-17,"['Action', 'Crime']",,,"{'domestic_gross': 104874, 'worldwide_gross': 18307490}",2 hr 6 min
1307,The Bolshoi Ballet: Live From Moscow - A Hero of Our Time,9-Apr-17,[],,,"{'domestic_gross': 104837, 'worldwide_gross': 135168}",2 hr 45 min
1308,Walking Out,5-Oct-17,"['Adventure', 'Drama', 'Thriller']",PG-13,,"{'domestic_gross': 101947, 'worldwide_gross': 162445}",1 hr 35 min
1309,The Lure,1-Feb-17,"['Comedy', 'Drama', 'Fantasy', 'Horror', 'Musical', 'Thriller']",,,"{'domestic_gross': 101657, 'worldwide_gross': 108846}",1 hr 32 min
1310,Some Like It Hot,13-Jan-17,['Comedy'],,,"{'domestic_gross': 100026, 'worldwide_gross': 95721320}",1 hr 56 min
1311,Munna Michael,21-Jul-17,"['Action', 'Drama', 'Music', 'Romance']",,,"{'domestic_gross': 99629, 'worldwide_gross': 189105}",2 hr 20 min
1312,"Tim Timmerman, Hope of America",2-Mar-17,"['Comedy', 'Drama', 'Romance']",PG-13,,"{'domestic_gross': 97727, 'worldwide_gross': 97727}",1 hr 34 min
1313,Poster Boys,8-Sep-17,['Comedy'],PG-13,,"{'domestic_gross': 97049, 'worldwide_gross': 2602256}",2 hr 8 min
1314,The Mayor,28-Apr-17,['Drama'],,,"{'domestic_gross': 96777, 'worldwide_gross': 9476194}",2 hr 10 min
1315,Score,16-Jun-17,"['Documentary', 'Music']",,,"{'domestic_gross': 101382, 'worldwide_gross': 184025}",1 hr 33 min
1316,Keep Watching,31-Oct-17,"['Horror', 'Mystery', 'Thriller']",R,,"{'domestic_gross': 94178, 'worldwide_gross': 94178}",1 hr 29 min
1317,The Fencer,21-Jul-17,"['Biography', 'Drama', 'History', 'Sport']",,,"{'domestic_gross': 95952, 'worldwide_gross': 599537}",1 hr 39 min
1318,Sully,9-Sep-16,"['Biography', 'Drama']",PG-13,"$60,000,000 ","{'domestic_gross': 125070033, 'worldwide_gross': 240797623}",1 hr 36 min
